ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
657  ,RATHBURN LANE ,K1T0V9,Ward 20,4M-1659,,CLARIDGE HOMES (BANK ST) L.P.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Whitney 2018 Mid,Oliver 2018 End,Whitney 2018 Mid,Selkirk 2020 mid,Gregoire 2018 End",5,"1,076,375",8276,2100727,Construction, 2021-Jan-26
659  ,RATHBURN LANE ,K1T0V9,Ward 20,4M-1659,,CLARIDGE HOMES (BANK ST) L.P.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Whitney 2018 Mid,Oliver 2018 End,Whitney 2018 Mid,Selkirk 2020 mid,Gregoire 2018 End",5,"1,076,375",8276,2100727,Construction, 2021-Jan-26
661  ,RATHBURN LANE ,K1T0V9,Ward 20,4M-1659,,CLARIDGE HOMES (BANK ST) L.P.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Whitney 2018 Mid,Oliver 2018 End,Whitney 2018 Mid,Selkirk 2020 mid,Gregoire 2018 End",5,"1,076,375",8276,2100727,Construction, 2021-Jan-26
663  ,RATHBURN LANE ,K1T0V9,Ward 20,4M-1659,,CLARIDGE HOMES (BANK ST) L.P.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Whitney 2018 Mid,Oliver 2018 End,Whitney 2018 Mid,Selkirk 2020 mid,Gregoire 2018 End",5,"1,076,375",8276,2100727,Construction, 2021-Jan-26
665  ,RATHBURN LANE ,K1T0V9,Ward 20,4M-1659,,CLARIDGE HOMES (BANK ST) L.P.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Whitney 2018 Mid,Oliver 2018 End,Whitney 2018 Mid,Selkirk 2020 mid,Gregoire 2018 End",5,"1,076,375",8276,2100727,Construction, 2021-Jan-26
2250  ,MIRAMICHI ST ,K2C0Y9,Ward 8,342696,104,SAMCO CONSTRUCTION,Single,Old Ottawa,Finish the basement in a 1 storey detached dwelling,0,"29,508",635,2100728,Construction, 2021-Jan-26
2  ,GREENHAVEN CRES ,K2S2A4,Ward 6,4M-1107,38,POOL BUILDERS OTTAWA,Single,Goulbourn,Install an enclosure for an inground pool (rear yard),0,0,0,2100729,Pool Enclosure, 2021-Jan-26
4263  ,PRINCE OF WALES DR ,K0A2E0,Ward 21,,2,CONTRACTOR UNKNOWN,Demolition,Nepean,Demolish a 2 storey detached dwelling,-1,"20,000",-1000,2100730,Demolition, 2021-Jan-26
667  ,RATHBURN LANE ,K1T0V9,Ward 20,4M-1659,19,CLARIDGE HOMES (BANK ST) L.P.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Oliver 2018 Mid,Selkirk 2020 mid,Carlton 2018 End,Whitney 2018 End",4,"899,494",6916,2100731,Construction, 2021-Jan-26
669  ,RATHBURN LANE ,K1T0V9,Ward 20,4M-1659,19,CLARIDGE HOMES (BANK ST) L.P.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Oliver 2018 Mid,Selkirk 2020 mid,Carlton 2018 End,Whitney 2018 End",4,"899,494",6916,2100731,Construction, 2021-Jan-26
671  ,RATHBURN LANE ,K1T0V9,Ward 20,4M-1659,19,CLARIDGE HOMES (BANK ST) L.P.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Oliver 2018 Mid,Selkirk 2020 mid,Carlton 2018 End,Whitney 2018 End",4,"899,494",6916,2100731,Construction, 2021-Jan-26
673  ,RATHBURN LANE ,K1T0V9,Ward 20,4M-1659,19,CLARIDGE HOMES (BANK ST) L.P.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Oliver 2018 Mid,Selkirk 2020 mid,Carlton 2018 End,Whitney 2018 End",4,"899,494",6916,2100731,Construction, 2021-Jan-26
600  ,"GENDARME, CERCLE DU  ",K1W0R1,Ward 2,4M-1643,65,RICHCRAFT HOMES LIMITED,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: 35-18 Baldwin 2012 C&D,1,"397,314",2673,2100732,Construction, 2021-Jan-26
592  ,KNOTRIDGE ST ,K1W0M2,Ward 2,4M-1614,,CLARIDGE HOMES (CARSON) INC.,Semi - Detached,Gloucester,"Construct a 2 Storey Semi - Detached with attached garages  Models: Dunn 2018 End,Dunn 2018 End",2,"573,564",4410,2100733,Construction, 2021-Jan-26
594  ,KNOTRIDGE ST ,K1W0M2,Ward 2,4M-1614,,CLARIDGE HOMES (CARSON) INC.,Semi - Detached,Gloucester,"Construct a 2 Storey Semi - Detached with attached garages  Models: Dunn 2018 End,Dunn 2018 End",2,"573,564",4410,2100733,Construction, 2021-Jan-26
7150  ,GALLAGHER RD ,K0A2T0,Ward 21,4R11792,12,EDGEWATER POOLS,Single,Rideau,Install an enclosure for an in ground pool (rear yard),0,0,0,2100734,Pool Enclosure, 2021-Jan-26
10  ,BROADWAY AVE ,K1S2V6,Ward 17,94044,11,HOT TUB GUYS,Single,Old Ottawa,Install an enclosure for a hot tub (rear yard),0,0,0,2100736,Pool Enclosure, 2021-Jan-26
112  ,HOLIDAY DR ,K0A3M0,Ward 5,757,51,CONTRACTOR UNKNOWN,Single,West Carleton,Install a woodstove on the main floor of a 1 storey detached dwelling,0,"6,000",0,2100737,Construction, 2021-Jan-26
1500  ,"ST-LAURENT, BOULEVARD  ",K1G0Z8,Ward 18,725,,CONTRACTOR UNKNOWN,Industrial,Old Ottawa,Interior alterations to a 1 storey industrial building (OC Transpo Garage - Paint Booths),0,"200,000",800,2100738,Construction, 2021-Jan-26
2237  ,BEAVER AVE ,K1H7W3,Ward 18,,19,CONTRACTOR UNKNOWN,Single,Old Ottawa,Install a wood burning fireplace in a 2 storey detached dwelling,0,"21,953",0,2100739,Construction, 2021-Jan-26
3  ,WILD ACRE LANE ,K2W0K2,Ward 5,,14,CONTRACTOR UNKNOWN,Single,Kanata,Install 2 wood inserts in a 2 storey detached dwelling,0,"10,000",0,2100740,Construction, 2021-Jan-26
2154  ,WOODCREST RD ,K1H6H8,Ward 18,573,15,HOLLAND HOMES & RENOVATIONS INC.,Single,Old Ottawa,Interior alterations in the basement of a 1 storey detached dwelling (insulate foundation walls),0,"38,849",0,2100741,Construction, 2021-Jan-26
110  ,OLD COLONY RD ,K2L1M2,Ward 23,809,345,CONTRACTOR UNKNOWN,Single,Kanata,Construct a secondary dwelling unit in a 2 storey detached dwelling (main floor and basement),1,"50,000",2206,2100742,Construction, 2021-Jan-26
1901  ,PRINCE OF WALES DR ,K2C3J7,Ward 16,419,25,CONTRACTOR UNKNOWN,Single,Nepean,Interior alterations in a 2 storey detached dwelling (remove load-bearing wall in kitchen),0,"5,000",215,2100744,Construction, 2021-Jan-26
90  ,DUN SKIPPER DR ,K1X0E8,Ward 22,4M-1617,35,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Gloucester,Construct a 2 Storey detached dwelling,1,"426,758",2296,2100745,Construction, 2021-Jan-26
36 B ,DUFFERIN RD ,K1M2A8,Ward 13,56,,OAKWOOD DESIGNERS & BUILDERS INC.,Rowhouse,Old Ottawa,Interior alterations in a 3 storey rowhouse,0,"16,576",211,2100746,Construction, 2021-Jan-26
77  ,JUANITA AVE ,,Ward 5,842,19,***CONTRACTOR***,Single,West Carleton,Construct a secondary dwelling unit in a 1 storey detached dwelling (Basement),1,"40,000",1292,2100747,Construction, 2021-Jan-26
400  ,MCARTHUR AVE ,K1K1G8,Ward 13,722,,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,Interior alterations to sub-divide existing floor space into 2 Units and add 2 BF washrooms on the 1st floor of a 2 storey mixed use building (Heartwood House),0,"50,000",1700,2100748,Construction, 2021-Jan-26
101  ,GOLDENROD DRWY ,K1A0K9,Ward 15,396,34,PROFEX CONSTRUCTION PROFEX INC.,Office,Old Ottawa,Interior alterations to the 2nd floor of a 4 storey office building (PWGSC),0,"133,000",5382,2100749,Construction, 2021-Jan-26
766  ,CAPPAMORE DR ,K2J6W3,Ward 21,4M1670,86,MINTO COMMUNITIES INC.,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Fitzroy II 2020 C,1,"398,652",2384,2100750,Construction, 2021-Jan-26
93  ,FIFTH AVE ,K1S2M3,Ward 17,34756,35,CONTRACTOR UNKNOWN,Single,Old Ottawa,Exterior alterations to a 2 storey detached dwelling (foundation wall and cladding repiars),0,"200,000",1076,2100751,Construction, 2021-Jan-26
778  ,CAPPAMORE DR ,K2J6V6,Ward 21,4M1656,14,MINTO COMMUNITIES INC.,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Bronte 2 2020 C,1,"352,165",2106,2100752,Construction, 2021-Jan-26
340  ,LAURIER AVE W,K1A0P9,Ward 14,4M-,,MARANT CONSTRUCTION LTD.,Office,Old Ottawa,Interior alterations to the 11 floor of a 13 storey office buidling (kitchen renovation),0,"29,300",88,2100753,Construction, 2021-Jan-26
1  ,ANTARES DR ,K2E8C4,Ward 9,4M-,,"SECUR FIRE PROTECTION, A DIVISION OF NOTISECUR INC.",Office,Nepean,Replace the fire alarm system in a 5 storey office building,0,"61,000",90000,2100754,Construction, 2021-Jan-27
710  ,SMITH RD ,K4B1H8,Ward 19,,10,CONTRACTOR UNKNOWN,,Cumberland,Install an enclosure for an inground pool (rear yard),0,0,0,2100755,Pool Enclosure, 2021-Jan-27
776  ,CAPPAMORE DR ,K2J6V6,Ward 21,4M1656,90,MINTO COMMUNITIES INC.,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Georgian 2020 D,1,"393,635",2354,2100756,Construction, 2021-Jan-27
47  ,ARTHUR ST ,K1R7B8,Ward 14,3459,68,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Interior alterations in a 2 storey semi-detached dwelling (convert laundry room to ensuite bathroom and laundry closet),0,"10,000",108,2100757,Construction, 2021-Jan-27
1884  ,MERIVALE RD ,K2G1E6,Ward 9,4M-,,LAKE PARK CONSTRUCTION INC.,Retail,Nepean,Tenant fit up in a 1 storey large building,0,"45,000",322,2100758,Construction, 2021-Jan-27
6283  ,FERNBANK RD ,K2S1X5,Ward 6,4M1591,22,CONTRACTOR UNKNOWN,Single,Goulbourn,Construct a 2 storey detached dwelling,1,"413,368",2472,2100759,Construction, 2021-Jan-27
1953  ,LENESTER AVE ,K2A1K1,Ward 7,290559,,STERLING DESIGN & DEVELOPMENT CORP.,Single,Old Ottawa,Finish the basement in a 1 storey detached dwelling w bedroom. add BWV.,0,"55,020",1184,2100760,Construction, 2021-Jan-27
101  ,COLONEL BY DR ,K1A0K2,Ward 12,4M-,,TOURANGEAU MECHANICAL,Office,Old Ottawa,"PLUMBING ONLY: Install a Premise Isolation Backflow Prevention Device on the domestic cold water supply (DND, Main Building and Guard Hut)",0,0,0,2100761,Construction, 2021-Jan-27
244  ,PURCHASE CRES ,K2S2L7,Ward 6,4M-1591,16,PATTEN HOMES 2000,Single,Goulbourn,Construct a 2 storey detached dwelling,1,"465,038",3471,2100762,Construction, 2021-Jan-27
218  ,ANGLEHART AVE ,K1E2V8,Ward 19,50M-68,47,CONTRACTOR UNKNOWN,Single,Cumberland,Interior alterations to a 2 storey detached dwelling (remove load bearing wall). Kitchen renovation.,0,"15,000",132,2100763,Construction, 2021-Jan-27
64  ,ARIDUS CRES ,K2S2L4,Ward 21,4M-1647,53,TARTAN HOMES CORPORATION,Single,Goulbourn,Construct a 1 Storey Single with attached garage  Model: Linden 2019,1,"276,047",2178,2100764,Construction, 2021-Jan-27
772  ,CAPPAMORE DR ,K2J6V6,Ward 21,4M1656,88,MINTO COMMUNITIES INC.,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Bronte 2 2020 C,1,"352,165",2106,2100765,Construction, 2021-Jan-27
8  ,CRIMSON GT ,K1T1Z6,Ward 10,,,CONTRACTOR UNKNOWN,Single,Old Ottawa,interior alterations to a 2 storey detached dwelling ( kitchen reno/load bearing wall),0,"108,044",500,2100766,Construction, 2021-Jan-27
3326  ,FINDLAY CREEK DR ,K1T0V2,Ward 20,4M-1659,211,CLARIDGE HOMES (BANK ST) L.P.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Aubrey 2018 C,1,"350,325",2095,2100767,Construction, 2021-Jan-27
1465  ,YOUVILLE DR ,K1C4R1,Ward 1,M152,,CONTRACTOR UNKNOWN,Industrial,Gloucester,PLUMBING ONLY: Intall a Premise Isolation Backflow Prevention Device on the fire potection system,0,0,0,2100768,Construction, 2021-Jan-27
3348  ,FINDLAY CREEK DR ,K1T0V4,Ward 20,4M-1659,206,CLARIDGE HOMES (BANK ST) L.P.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Lockport II 2018 Contemporary,1,"576,240",3446,2100769,Construction, 2021-Jan-27
138  ,WINTERHAVEN DR ,K1W0H4,Ward 2,4M-1614,51,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Lockport II 2018 D (contemporary) Walkout,1,"576,240",3446,2100770,Construction, 2021-Jan-27
34  ,MANCHESTER ST ,K2S0R9,Ward 6,,,CONTRACTOR UNKNOWN,Single,Goulbourn,Construct a 1 storey detached dwelling,1,"329,423",1970,2100771,Construction, 2021-Jan-27
223  ,HARCOURT AVE ,K2B5C2,Ward 7,4M-,,SANDTOWN CONSTRUCTION,Single,Old Ottawa,Construct a 3 season addition to a 1 storey detached dwelling,0,"66,403",297,2100772,Construction, 2021-Jan-27
920  -20,DYNES RD ,K2C0G8,Ward 16,4M-,,CONTRACTOR UNKNOWN,Rowhouse,Old Ottawa,"Interior alterations to all floors of a 2 storey rowhouse dwelling (finish basement, remove load-bearing walls, replace electric baseboards with forced air heating system)",0,"30,000",1500,2100773,Construction, 2021-Jan-27
22  ,SALAMANDER WAY ,K1X0E9,Ward 22,4M-1617,7,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Annapolis 2019 M,1,"606,674",3628,2100774,Construction, 2021-Jan-27
311  ,MCARTHUR AVE ,K1L8M3,Ward 12,381,,CONTRACTOR UNKNOWN,Retail,Vanier,PLUMBING ONLY: Install a Premise Isolation Backflow Prevention Device on the domestic water supply,0,"6,200",1,2100775,Construction, 2021-Jan-27
175  ,MCARTHUR AVE ,K1L6P8,Ward 12,4M-,,TTF ENGINEERING INC,Retail,Vanier,PLUMBING ONLY: Install a Premise Isolation Backflow Prevention Device on the domestic cold water supply,0,"3,200",1,2100776,Construction, 2021-Jan-27
273  ,DUNCAIRN AVE ,K1Z7H1,Ward 15,356,12 PT LOT 13,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,"5,000",-1500,2100777,Demolition, 2021-Jan-27
273  ,DUNCAIRN AVE ,K1Z7H1,Ward 15,356,12-13,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Construct a 3 storey triplex,3,"672,943",4024,2100778,Construction, 2021-Jan-27
895  ,POTVIN AVE ,K1C2Z7,Ward 1,288,145,GREG MACDONALD HOME INSPECTIONS,Single,Gloucester,Interior/exterior alterations to a 2 storey detached dwelling (replace windows and add a deck),0,"20,000",646,2100779,Construction, 2021-Jan-27
2512  ,ROMAN AVE ,K2B7X9,Ward 7,413452,,DFB ASSOCIATES,Single,Old Ottawa,Interior/exterior alterations in a 1 storey detached dwelling (repair fire damage),0,"100,000",1044,2100780,Construction, 2021-Jan-27
1038  ,FISHER AVE ,K1Z6P6,Ward 16,4M-,,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 1 storey addition to a 2 storey detached dwelling (4 season sunroom),0,"46,467",278,2100781,Construction, 2021-Jan-27
51  ,CORTLEIGH DR ,K2J3Z8,Ward 22,395807,,CONTRACTOR UNKNOWN,Single,Nepean,Install a wood insert in a 2 storey detached dwelling,0,"7,500",1,2100782,Construction, 2021-Jan-27
49  ,CAPILANO DR ,K2E6G5,Ward 9,313132,20,CONTRACTOR UNKNOWN,Single,Nepean,Construct a secondary dwelling in a 1 storey detached dwelling (basement),1,"25,000",1841,2100783,Construction, 2021-Jan-27
3806  ,HARVESTMOON DR ,K0A2W0,Ward 20,4M-,,PARKVIEW HOMES,Single,Osgoode,Construct a 1 storey detached dwelling,1,"275,244",1646,2100784,Construction, 2021-Jan-27
1274  ,ALLOWAY CRES ,K1K3Z1,Ward 13,4M-,,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to the basement of a 1 storey detached dwelling (relocation of existing bathroom & laundry facilities),0,"8,000",65,2100785,Construction, 2021-Jan-27
548  ,BROOKRIDGE CRES ,K4A1Z3,Ward 1,50M-95,77,EDGEWATER POOLS,Single,Cumberland,Install an enclosure for an inground pool (rear yard),0,0,0,2100786,Pool Enclosure, 2021-Jan-27
1188  ,ERINDALE DR ,K2C2G1,Ward 8,330974,215,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct an enclosed porch (front),0,"9,030",54,2100787,Construction, 2021-Jan-27
922  ,MOUNTAINVIEW AVE ,K2B5G4,Ward 7,4M-,,CONTRACTOR UNKNOWN,Detached Garage/Shed,Old Ottawa,Construct a detached garage (rear yard),0,"20,000",395,2100788,Construction, 2021-Jan-27
3554  ,CROSSWIND CRES ,K0A2W0,Ward 20,4M-1457,,PARK VIEW HOMES,Single,Osgoode,Construct a 1 storey detached dwelling,1,"343,488",1848,2100789,Construction, 2021-Jan-27
4579  ,STONECREST RD ,K0A3M0,Ward 5,4M-,,CONTRACTOR UNKNOWN,Single,West Carleton,Install a woodstove in the basement of a 1 storey detached dwelling,0,"8,500",0,2100790,Construction, 2021-Jan-27
824  ,TEWIN CIR ,K4A1K2,Ward 19,4M-1610,63,TAMARACK DEVELOPMENTS CORPORATION,Single,Cumberland,Construct a 1 storey detached dwelling,1,"244,773",1967,2100791,Construction, 2021-Jan-27
953  ,ISLINGTON WAY ,K1T0T7,Ward 20,4M1624,79,URBANDALE CONSTRUCTION,Single,Gloucester,Construct a 1 storey detached dwelling,1,"312,553",2594,2100792,Construction, 2021-Jan-27
816 B ,CLAUDE ST ,K1K2S4,Ward 13,4M-,,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a secondary dwelling unit in 1 storey semi-detached dwelling (basement),1,"10,000",517,2100793,Construction, 2021-Jan-27
816  ,CLAUDE ST ,K1K2S4,Ward 13,4M-,,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a secondary dwelling unit in 1 storey semi-detached dwelling (basement),1,"10,000",517,2100793,Construction, 2021-Jan-27
2421  ,LANCASTER RD ,K1B4L5,Ward 18,,26,CONTRACTOR UNKNOWN,Industrial,Old Ottawa,Interior demolition on the ground floor of a 1 storey warehouse building (return to base bldg for future fit-up),0,"40,000",5995,2100794,Construction, 2021-Jan-27
2026  ,TENTH LINE RD ,K4A4X4,Ward 19,4M-,,CONTRACTOR UNKNOWN,Retail,Cumberland,Tenant fit up in a 1 storey retail building (Unit# B2 - Spiritleaf),0,"100,000",1300,2100795,Construction, 2021-Jan-27
1678  ,TESLIN CRT ,K1C4X1,Ward 2,4M-450,24,CONTRACTOR UNKNOWN,Single,Gloucester,Interior alterations in a 2 storey detached dwelling (remove load bearing wall in kitchen),0,"40,000",484,2100796,Construction, 2021-Jan-27
128  ,WALGREEN RD ,K0A1L0,Ward 21,4M300,,MADDISON CONSTRUCTION LTD.,Industrial,West Carleton,Remove existing garage door and replace with a new wider garage door,0,"20,000",151,2100798,Construction, 2021-Jan-28
340  ,LAURIER AVE W,K1A0P9,Ward 14,4M-,,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations to the basement of a 13 storey office building (Replace fire pump),0,"268,605",5,2100800,Construction, 2021-Jan-28
2206  ,PLEASANTVIEW CRT ,K4C1H7,Ward 19,50M-146,8,ANDRE TAILLEFER LTD,Demolition,Cumberland,Demolish a detached garage,0,"10,000",-624,2100801,Demolition, 2021-Jan-28
6330  ,DEER VALLEY CRES ,K4P0A9,Ward 20,4M1314,34,EDGEWATER POOLS,Single,Osgoode,Install an enclosure for an in ground pool (rear yard),0,0,0,2100802,Pool Enclosure, 2021-Jan-28
170  ,LEES AVE ,K1S5G5,Ward 17,4M-,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Interior alterations to a 20 storey apartment building (install new fire alarm devices and replace below grade sprinkler systems),0,"733,108",452084,2100803,Construction, 2021-Jan-28
945  ,"GEOGRAPHE, TERRASSE DU  ",K4A1J7,Ward 19,4M1610,,PUREWATER TOTAL HOME LEISURE,Semi - Detached,Cumberland,Install an enclosure for a Hot Tub (rear yard),0,0,0,2100804,Pool Enclosure, 2021-Jan-28
524  ,"PONTHIEU, CERCLE DU  ",K1W0N4,Ward 2,4M1629,50,EDGEWATER POOLS,Single,Gloucester,Install an enclosure for an inground pool (rear yard),0,0,0,2100805,Pool Enclosure, 2021-Jan-28
159  ,MCCURDY DR ,K2L2Z7,Ward 23,4M405,8,CONTRACTOR UNKNOWN,Single,Kanata,Construct a 2 storey addition to accomodate an elevator shaft in the garage 2 storey detached dwelling,0,"80,000",50,2100806,Construction, 2021-Jan-28
794  ,COPE DR ,K2S2P9,Ward 6,,,RICHCRAFT HOMES LIMITED,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: 31-05-1 2011,1,"265,322",1785,2100807,Construction, 2021-Jan-29
3929  ,SHIRLEY AVE ,K1V1H4,Ward 22,4M-,,CONTRACTOR UNKNOWN,Single,Gloucester,Interior altrerations to a 2 storey detached dwelling (remove load bearing wall)  and renovate second floor bathroom.,0,"25,000",500,2100808,Construction, 2021-Jan-29
492  ,TWEEDSMUIR AVE ,K1Z5N9,Ward 15,4M-,50,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to the basement and ground floor of a 2 storey detached dwelling (finished basement and kitchen remodel) and install a backwater valve on the sanitary sewer (no secondary dwelling unit),0,"30,000",1200,2100809,Construction, 2021-Jan-29
331  ,MONTFORT ST ,K1L5N5,Ward 12,246,272,"LANDRY, GILLES",Duplex,Vanier,Construct a staircase to the 2nd floor unit of a 2 storey duplex (rear yard),0,"5,644",59,2100810,Construction, 2021-Jan-29
782  ,EAGLESON RD ,K2M0N2,Ward 23,,31,CONTRACTOR UNKNOWN,Retail,Kanata,"Tenant fit-up in 1 storey retail building (Unit D7, Royal Orchid Nails & Spa)",0,"51,582",1110,2100811,Construction, 2021-Jan-29
205  ,CATHERINE ST ,K2P1C3,Ward 14,30,17,ECLIPSE ENTERPRISES FIRE PROTECTION LTD.,Office,Old Ottawa,PLUMBING ONLY: To install a Premise Isolation Backflow Prevention Device on the fire protection system,0,"9,625",10,2100812,Construction, 2021-Jan-29
31  ,ROCKFIELD CRES ,K2E5L6,Ward 9,4M-,,CONTRACTOR UNKNOWN,Single,Nepean,Interior alterations to a 2 storey detached dwelling (main floor load bearing and non-load bearing walls),0,"1,000",0,2100813,Construction, 2021-Jan-29
2498  ,AUTUMN HILL CRES ,K1B4M7,Ward 2,888,,CONTRACTOR UNKNOWN,Rowhouse,Gloucester,Interior alterations in a 2 storey rowhouse (add an ensuite bathroom),0,"7,500",75,2100814,Construction, 2021-Jan-29
1600  ,FOREST VALLEY DR ,K1C6X7,Ward 2,4M583,,CONTRACTOR UNKNOWN,Retail,Gloucester,Tenant fit-up for a pharmacy in a 1 storey retail building (Unit 3),0,"40,000",947,2100816,Construction, 2021-Jan-29
2951  -101,RIVERSIDE DR ,K1V8W6,Ward 16,4M-,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,"Replace gas fired Make Up Air Unit, on the roof of a 12 storey apartment building.",0,"20,000",646,2100817,Construction, 2021-Jan-29
374  ,SERENADE CRES ,K1X0B9,Ward 22,4M-1601,52,TREVI POOLS,Single,Gloucester,Install an enclosure for an inground pool (rear yard),0,0,0,2100818,Pool Enclosure, 2021-Jan-29
565  ,WEST HUNT CLUB RD ,K2G5W5,Ward 9,,28 & 29,CONTRACTOR UNKNOWN,Retail,Nepean,"Interior alterations  in a 1 storey retail building (original tenant fit-up of Unit #3, Bombay Spice Grocery Store)",0,"38,095",4738,2100819,Construction, 2021-Jan-29
58  ,ANGEL HTS ,K2S2N4,Ward 6,,29,RICHCRAFT HOMES LIMITED,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: 35-22 The Edward C,1,"258,930",1742,2100821,Construction, 2021-Jan-29
5567  ,SOUTH ISLAND PARK DR ,K4M1J2,Ward 21,4M-318,3,CONTRACTOR UNKNOWN,Single,Rideau,Add a mudroom between garage and existing 1 storey detached dwelling,0,"33,444",200,2100822,Construction, 2021-Jan-29
60  ,COLCHESTER SQ ,K2K2Z9,Ward 4,4M-,,CONTRACTOR UNKNOWN,Retail,Kanata,Tenant fit-up in a 1 storey Commercial building ( Dental Office Unit - G ),0,"100,000",2550,2100823,Construction, 2021-Jan-29
321  ,TRESTLE ST ,K4M0G1,Ward 21,4M-1494,14,M. GORMAN ENTERPRISE,Single,Rideau,Finish the basement in a 2 storey detached dwelling,0,"69,705",1500,2100824,Construction, 2021-Jan-29
320  ,EAGLESON RD ,K2M1C9,Ward 23,4M-,,CONTRACTOR UNKNOWN,Retail,Kanata,Tenant fit up in a 2 storey retail building (Unit D8 - Massage Therapy Clinic),0,"69,519",1496,2100825,Construction, 2021-Jan-29
379  ,COPE DR ,K2V0P7,Ward 6,4M-,96-99,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Goulbourn,Construct a 4 unit 2 storey rowhouse,4,"1,008,727",8693,2100827,Construction, 2021-Feb-01
381  ,COPE DR ,K2V0P7,Ward 6,4M-,96-99,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Goulbourn,Construct a 4 unit 2 storey rowhouse,4,"1,008,727",8693,2100827,Construction, 2021-Feb-01
383  ,COPE DR ,K2V0P7,Ward 6,4M-,96-99,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Goulbourn,Construct a 4 unit 2 storey rowhouse,4,"1,008,727",8693,2100827,Construction, 2021-Feb-01
385  ,COPE DR ,K2V0P7,Ward 6,4M-,96-99,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Goulbourn,Construct a 4 unit 2 storey rowhouse,4,"1,008,727",8693,2100827,Construction, 2021-Feb-01
104  ,WILLOWLEA RD ,,Ward 21,M-300,,WATERDON CONSTRUCTION,Industrial,West Carleton,Construct a 1 storey addition to a 1 storey industrial building,0,"134,027",1603,2100828,Construction, 2021-Feb-01
183 A ,PRESLAND RD ,K1K2C1,Ward 13,,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Construct a 3 storey triplex,3,"450,000",6552,2100829,Construction, 2021-Feb-01
183 B ,PRESLAND RD ,K1K2C1,Ward 13,,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Construct a 3 storey triplex,3,"450,000",6552,2100829,Construction, 2021-Feb-01
183 C ,PRESLAND RD ,K1K2C1,Ward 13,,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Construct a 3 storey triplex,3,"450,000",6552,2100829,Construction, 2021-Feb-01
183  ,PRESLAND RD ,K1K2C1,Ward 13,,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Construct a 3 storey triplex,3,"450,000",6552,2100829,Construction, 2021-Feb-01
520  ,CHRISCRAFT WAY ,K4M0G2,Ward 21,4M-1494,52,CONTRACTOR UNKNOWN,Single,Rideau,Interior alterations in the basement of a 2 storey detached dwelling (add bathroom),0,"15,000",60,2100830,Construction, 2021-Feb-01
